Block Size,Nbins,Cluster Size,Average Time (sec),Throughput (Gelem/s)
128,256,1,0.00027,7.46269
128,256,2,0.00009,21.27660
128,256,4,0.00010,19.41748
128,256,8,0.00010,20.00000
128,256,16,0.00008,24.39024
128,512,1,0.00027,7.38007
128,512,2,0.00009,21.73913
128,512,4,0.00010,19.41748
128,512,8,0.00010,20.61856
128,512,16,0.00009,21.05263
128,1024,1,0.00026,7.60456
128,1024,2,0.00010,20.20202
128,1024,4,0.00009,22.22222
128,1024,8,0.00010,20.40816
128,1024,16,0.00011,18.86792
128,2048,1,0.00031,6.36943
128,2048,2,0.00010,19.80198
128,2048,4,0.00010,20.61856
128,2048,8,0.00010,20.00000
128,2048,16,0.00010,19.80198
512,256,1,0.00016,12.26994
512,256,2,0.00015,13.15790
512,256,4,0.00009,21.97802
512,256,8,0.00009,21.50538
512,256,16,0.00009,21.97802
512,512,1,0.00015,13.07190
512,512,2,0.00016,12.65823
512,512,4,0.00009,21.27660
512,512,8,0.00010,19.23077
512,512,16,0.00010,20.83333
512,1024,1,0.00015,13.60544
512,1024,2,0.00014,13.79310
512,1024,4,0.00010,20.40816
512,1024,8,0.00009,21.73913
512,1024,16,0.00009,22.47191
512,2048,1,0.00017,11.83432
512,2048,2,0.00016,12.82051
512,2048,4,0.00009,21.27660
512,2048,8,0.00009,21.73913
512,2048,16,0.00010,19.60784
