Parameter,Order,L2 Hit Rate,Kernel Duration (us)
t1 = 2,0,83.29,9734.82
t1 = 2,1,84.78,9557.93
t1 = 2,2,71.87,9285.72
t1 = 2,3,73.93,9291.65
t1 = 4,0,81.03,9272.89
t1 = 4,1,84.74,9335.87
t1 = 4,2,83.74,9219.63
t1 = 4,3,81.69,9179.72
t1 = 8,0,75.85,9475.18
t1 = 8,1,75.72,9294.31
t1 = 8,2,83.19,9212.96
t1 = 8,3,83.12,9224.06
t1 = 16,0,69.32,9962.46
t1 = 16,1,68.49,9867.28
t1 = 16,2,74.59,12163.7
t1 = 16,3,81.62,12454
t1 = 32,0,54.94,13580.9
t1 = 32,1,55.43,13912.4
t1 = 32,2,73.17,14791.3
t1 = 32,3,73.85,15021
t1 = 64,0,53.15,13812.1
t1 = 64,1,50.50,14178.2
t1 = 64,2,72.73,15085.1
t1 = 64,3,72.79,15020.3
t1 = 128,0,50.23,14007.3
t1 = 128,1,49.51,14365.6
t1 = 128,2,71.71,15769.9
t1 = 128,3,71.66,15814.3
outer_width = 2, inner_width = 1,4,71.44,9154.94
outer_width = 4, inner_width = 2,4,80.15,9187.78
outer_width = 8, inner_width = 4,4,83.36,9779.59
outer_width = 16, inner_width = 8,4,79.60,11374.2
outer_width = 32, inner_width = 16,4,72.75,14694.4
outer_width = 64, inner_width = 32,4,71.35,15917
outer_width = 128, inner_width = 64,4,72.88,15525.6
outer_width = 256, inner_width = 128,4,73.09,15146.5
