batch,order_line,average_time
256,1,482.748719
256,2,475.165406
256,3,476.569563
256,4,485.853031
256,5,484.940562
256,6,475.595969
512,1,796.777563
512,2,669.071000
512,3,668.576063
512,4,653.587250
512,5,670.377438
512,6,670.724875
1024,1,1491.507375
1024,2,1278.654875
1024,3,1246.865250
1024,4,1325.994750
1024,5,1362.519125
1024,6,1362.339875
2048,1,2767.103500
2048,2,2540.057250
2048,3,2454.692250
2048,4,2490.177500
2048,5,2392.102750
2048,6,2467.882000
4096,1,5494.797500
4096,2,5215.977000
4096,3,4862.982000
4096,4,4872.790500
4096,5,4877.086000
4096,6,4813.383000
8192,1,10865.451000
8192,2,10525.779000
8192,3,10078.269000
8192,4,9971.523000
8192,5,9801.371000
8192,6,9623.641000
16384,1,21641.460000 
16384,2,21300.968000
16384,3,20628.536000
16384,4,19545.744000
16384,5,19711.302000
16384,6,19405.458000
32768,1,43383.232000
32768,2,42869.384000
32768,3,41952.396000
32768,4,39473.564000
32768,5,39235.540000
32768,6,38893.608000
