N,M,K,T,Time(ms)
128,16384,128,128,0.018969
128,16384,128,256,0.0254666
128,16384,128,512,0.038488
128,16384,128,1024,0.0869216
128,16384,256,128,0.0289686
128,16384,256,256,0.0354058
128,16384,256,512,0.0539936
128,16384,256,1024,0.103274
128,40960,128,128,0.0283363
128,40960,128,256,0.0422896
128,40960,128,512,0.0723584
128,40960,128,1024,0.121329
128,40960,256,128,0.0436346
128,40960,256,256,0.0645418
128,40960,256,512,0.0939517
128,40960,256,1024,0.142198
128,51200,128,128,0.0435501
128,51200,128,256,0.0677488
128,51200,128,512,0.115215
128,51200,128,1024,0.197108
128,51200,256,128,0.0755088
128,51200,256,256,0.111614
128,51200,256,512,0.152452
128,51200,256,1024,0.234636
128,614400,128,128,0.386929
128,614400,128,256,0.545684
128,614400,128,512,0.864912
128,614400,128,1024,1.47246
128,614400,256,128,0.659759
128,614400,256,256,0.858408
128,614400,256,512,1.14754
128,614400,256,1024,1.72982
128,81920,128,128,0.0643638
128,81920,128,256,0.081671
128,81920,128,512,0.128416
128,81920,128,1024,0.215189
128,81920,256,128,0.100021
128,81920,256,256,0.125323
128,81920,256,512,0.168987
128,81920,256,1024,0.254174
1024,16384,128,128,0.102206
1024,16384,128,256,0.156384
1024,16384,128,512,0.263661
1024,16384,128,1024,0.49236
1024,16384,256,128,0.140467
1024,16384,256,256,0.194059
1024,16384,256,512,0.305519
1024,16384,256,1024,0.536905
1024,40960,128,128,0.248093
1024,40960,128,256,0.397608
1024,40960,128,512,0.681115
1024,40960,128,1024,1.23078
1024,40960,256,128,0.363242
1024,40960,256,256,0.534193
1024,40960,256,512,0.807106
1024,40960,256,1024,1.35513
1024,51200,128,128,0.29821
1024,51200,128,256,0.483176
1024,51200,128,512,0.813206
1024,51200,128,1024,1.46334
1024,51200,256,128,0.457073
1024,51200,256,256,0.626058
1024,51200,256,512,0.946793
1024,51200,256,1024,1.59904
1024,614400,128,128,3.67763
1024,614400,128,256,5.54511
1024,614400,128,512,9.31168
1024,614400,128,1024,16.8067
1024,614400,256,128,5.26838
1024,614400,256,256,7.18579
1024,614400,256,512,10.9959
1024,614400,256,1024,18.5465
1024,81920,128,128,0.518834
1024,81920,128,256,0.779799
1024,81920,128,512,1.29829
1024,81920,128,1024,2.32944
1024,81920,256,128,0.747957
1024,81920,256,256,1.01185
1024,81920,256,512,1.52826
1024,81920,256,1024,2.55825
