M,N,K,Swizzle,BaselineRatio,L2_Hit_Rate (%),Arithmetic Intensity,Performance Bound,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per.second,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,Highlight,Total Time (seconds), base_ratio
1024,4096,14336,1,0,90.66,52.465152,memory bound,1983626.710000,1.300000,29360128.000000,286520000.000000,,1.525866, 0
1024,4096,14336,16,0,87.46,43.170304,memory bound,1983715.140000,1.300000,29360128.000000,348210000.000000,,1.525934, 0
1024,4096,14336,128,0,87.36,43.174912,memory bound,1983097.290000,1.300000,29360128.000000,348170000.000000,,1.525459, 0
2048,4096,14336,1,0,91.27,45.266944,memory bound,3475703.000000,1.300000,58720256.000000,664160000.000000,,2.673617, 0
2048,4096,14336,16,0,89.36,46.010368,memory bound,3481388.430000,1.310000,58720256.000000,653430000.000000,,2.657548, 0
2048,4096,14336,128,0,89.36,45.989376,memory bound,3473622.000000,1.300000,58720256.000000,653730000.000000,,2.672016, 0
16384,4096,14336,1,0,66.59,10.947072,memory bound,42891895.710000,1.320000,469762048.000000,21970000000.000000,,32.493860, 0
16384,4096,14336,16,0,91.13,52.060160,memory bound,24262987.860000,1.290000,469762048.000000,4620000000.000000,,18.808517, 0
16384,4096,14336,128,0,91.48,53.329920,memory bound,24254564.290000,1.300000,469762048.000000,4510000000.000000,,18.657357, 0
32768,4096,14336,1,0,65.23,10.727424,memory bound,87488256.290000,1.300000,939524096.000000,44840000000.000000,,67.298658, 0
32768,4096,14336,16,0,89.09,45.210112,memory bound,48451518.140000,1.300000,939524096.000000,10640000000.000000,,37.270398, 0
32768,4096,14336,128,0,89.69,47.067648,memory bound,48444032.140000,1.300000,939524096.000000,10220000000.000000,,37.264640, 0
65536,4096,14336,1,0,64.35,10.587136,memory bound,177182867.860000,1.300000,1879048192.000000,90870000000.000000,,136.294513, 0
65536,4096,14336,16,0,83.08,32.229888,memory bound,96960753.290000,1.310000,1879048192.000000,29850000000.000000,,74.015842, 0
65536,4096,14336,128,0,83.31,32.656896,memory bound,96839383.430000,1.310000,1879048192.000000,29460000000.000000,,73.923193, 0
